Credora;Devedora;Referencia;Trafego;POI;Rel;Descritor;Grupo Horario;Chamadas;Minutos;Tarifa;Valor Liquido;PIS/COFINS;ICMS;Valor Bruto
112;010;202607;202607;SPO01;00;LENL;N;52396;155065,0;0,0061;945,90;35,83;0;981,73
112;010;202607;202607;SPO01;00;LENL;R;3175;7016,9;0,00427;29,96;1,14;0;31,10
;;;;;01;;;55571;162081,9;;975,86;36,97;0;1012,83
