035,011,202603,202601,1ALG006I,00,NENL,N,000000000655,"000000001714,6","0,00626","0000000000010,73","0000000000000,41","0000000000000,00","0000000000011,14",,"0000000000000,10","0000000000000,00","0000000000000,00",000000000000001,035
035,011,202603,202601,1ALG006I,00,NENL,R,000000000006,"000000000010,5","0,00438","0000000000000,05","0000000000000,00","0000000000000,00","0000000000000,05",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1ALG015I,00,NENL,N,000000000188,"000000000418,5","0,00626","0000000000002,62","0000000000000,10","0000000000000,00","0000000000002,72",,"0000000000000,02","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1ALG015I,00,NENL,R,000000000003,"000000000005,9","0,00438","0000000000000,03","0000000000000,00","0000000000000,00","0000000000000,03",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB006I,00,NENL,N,000000000076,"000000000144,4","0,00626","0000000000000,90","0000000000000,03","0000000000000,00","0000000000000,93",,"0000000000000,01","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB006I,00,NENL,R,000000000001,"000000000017,4","0,00438","0000000000000,08","0000000000000,00","0000000000000,00","0000000000000,08",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB009I,00,NENL,N,000000001522,"000000004469,3","0,00626","0000000000027,98","0000000000001,06","0000000000000,00","0000000000029,04",,"0000000000000,25","0000000000000,00","0000000000000,00",000000000000003,035
035,011,202603,202601,1CTB009I,00,NENL,R,000000000024,"000000000207,7","0,00438","0000000000000,91","0000000000000,03","0000000000000,00","0000000000000,94",,"0000000000000,01","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB012I,00,NENL,N,000000000360,"000000000844,5","0,00626","0000000000005,29","0000000000000,20","0000000000000,00","0000000000005,49",,"0000000000000,05","0000000000000,00","0000000000000,00",000000000000001,035
035,011,202603,202601,1CTB012I,00,NENL,R,000000000004,"000000000006,0","0,00438","0000000000000,03","0000000000000,00","0000000000000,00","0000000000000,03",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB017I,00,GE8L,N,000000000024,"000000000280,0","0,00626","0000000000001,75","0000000000000,07","0000000000000,00","0000000000001,82",,"0000000000000,02","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB018I,00,NENL,N,000000000300,"000000001409,8","0,00626","0000000000008,83","0000000000000,33","0000000000000,00","0000000000009,16",,"0000000000000,08","0000000000000,00","0000000000000,00",000000000000001,035
035,011,202603,202601,1CTB018I,00,NENL,R,000000000007,"000000000019,7","0,00438","0000000000000,09","0000000000000,00","0000000000000,00","0000000000000,09",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB020I,00,GE8L,N,000000000050,"000000000471,3","0,00626","0000000000002,95","0000000000000,11","0000000000000,00","0000000000003,06",,"0000000000000,03","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB020I,00,GE8L,R,000000000003,"000000000016,7","0,00438","0000000000000,07","0000000000000,00","0000000000000,00","0000000000000,07",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB021I,00,NENL,N,000000000864,"000000003039,1","0,00626","0000000000019,02","0000000000000,72","0000000000000,00","0000000000019,74",,"0000000000000,17","0000000000000,00","0000000000000,00",000000000000002,035
035,011,202603,202601,1CTB021I,00,NENL,R,000000000007,"000000000071,4","0,00438","0000000000000,31","0000000000000,01","0000000000000,00","0000000000000,32",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB023I,00,GE8L,N,000000000007,"000000000019,3","0,00626","0000000000000,12","0000000000000,00","0000000000000,00","0000000000000,12",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB027I,00,NENL,N,000000000203,"000000000492,5","0,00626","0000000000003,08","0000000000000,12","0000000000000,00","0000000000003,20",,"0000000000000,03","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB027I,00,NENL,R,000000000002,"000000000003,7","0,00438","0000000000000,02","0000000000000,00","0000000000000,00","0000000000000,02",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB032I,00,GE8L,N,000000000004,"000000000063,0","0,00626","0000000000000,39","0000000000000,01","0000000000000,00","0000000000000,40",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1CTB033I,00,NENL,N,000000001477,"000000004194,2","0,00626","0000000000026,26","0000000000000,99","0000000000000,00","0000000000027,25",,"0000000000000,24","0000000000000,00","0000000000000,00",000000000000003,035
035,011,202603,202601,1CTB033I,00,NENL,R,000000000019,"000000000121,8","0,00438","0000000000000,53","0000000000000,02","0000000000000,00","0000000000000,55",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF009I,00,NENL,N,000000000001,"000000000000,8","0,00626","0000000000000,01","0000000000000,00","0000000000000,00","0000000000000,01",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF018I,00,NENL,N,000000000006,"000000000009,6","0,00626","0000000000000,06","0000000000000,00","0000000000000,00","0000000000000,06",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF018I,00,NENL,R,000000000003,"000000000010,7","0,00438","0000000000000,05","0000000000000,00","0000000000000,00","0000000000000,05",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF021I,00,NENL,N,000000000004,"000000000005,1","0,00626","0000000000000,03","0000000000000,00","0000000000000,00","0000000000000,03",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF024I,00,NENL,N,000000000005,"000000000010,2","0,00626","0000000000000,06","0000000000000,00","0000000000000,00","0000000000000,06",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF033I,00,NENL,N,000000000011,"000000000054,9","0,00626","0000000000000,34","0000000000000,01","0000000000000,00","0000000000000,35",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF036I,00,NENL,N,000000000002,"000000000009,7","0,00626","0000000000000,06","0000000000000,00","0000000000000,00","0000000000000,06",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF039I,00,NENL,N,000000000008,"000000000011,4","0,00626","0000000000000,07","0000000000000,00","0000000000000,00","0000000000000,07",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF042I,00,NENL,N,000000000027,"000000000055,3","0,00626","0000000000000,35","0000000000000,01","0000000000000,00","0000000000000,36",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF045I,00,NENL,N,000000000017,"000000000043,2","0,00626","0000000000000,27","0000000000000,01","0000000000000,00","0000000000000,28",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF045I,00,NENL,R,000000000001,"000000000002,0","0,00438","0000000000000,01","0000000000000,00","0000000000000,00","0000000000000,01",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF062I,00,NENL,N,000000000002,"000000000025,3","0,00626","0000000000000,16","0000000000000,01","0000000000000,00","0000000000000,17",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,1OIF087I,00,NENL,N,000000000001,"000000000000,7","0,00626","0000000000000,00","0000000000000,00","0000000000000,00","0000000000000,00",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,30003IP4,00,NENL,N,000000000001,"000000000000,5","0,00626","0000000000000,00","0000000000000,00","0000000000000,00","0000000000000,00",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,3ALG001I,00,NENL,N,000000000147,"000000000274,4","0,00626","0000000000001,72","0000000000000,07","0000000000000,00","0000000000001,79",,"0000000000000,02","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,3ALG001I,00,NENL,R,000000000001,"000000000004,0","0,00438","0000000000000,02","0000000000000,00","0000000000000,00","0000000000000,02",,"0000000000000,00","0000000000000,00","0000000000000,00",000000000000000,035
035,011,202603,202601,3ALG003I,00,NENL,N,000000000081,"000000000269,2","0,00626","0000000000001,69","0000000000000,06","0000000000000,00","0000000000001,75",,"0000000000000,02","0000000000000,00","0000000000000,00",000000000000000,035
