EOT Credora;EOT Devedora;Periodo de Referencia;Periodo de Trafego;Ponto de Interconexao;Tipo Relatorio;Descritor de CDR;Grupo Horario;Chamadas;Duracao em Minutos;Tarifa Aplicavel;Valor Liquido;PIS/Cofins;Valor ICMS;Valor Bruto
B67;010;202607;202607;AGIL_SPO;0;LENL;N;24063;39157,0;0,00610;238,86;9,05;0,00;247,91
B67;010;202607;202607;AGIL_SPO;0;LENL;R;5813;7801,7;0,00427;33,33;1,26;0,00;34,60
B68;010;202607;202607;AGIL_SPO;0;LENL;N;18007;61180,8;0,00610;373,20;14,14;0,00;387,34
B68;010;202607;202607;AGIL_SPO;0;LENL;R;1236;2653,6;0,00427;11,33;0,43;0,00;11,76
