CREDORA;DEVEDORA;CICLO REFERÊNCIA;PERÍODO DE TRÁFEGO;POI;TIPO RELATÓRIO;REMUNERACAO;DESCRITOR;GH;CHAMADAS;DURAÇÃO;TARIFA;VALOR LÍQUIDO;PIS/COFINS;VALOR ICMS;TOTAL(R$);TOTAL_REAL (R$);OPERATION TYPE;EOT
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;93666;396466,8;0,01275;5054,96;191,49;0;5246,45;;F;049
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;715;2636,7;0,00423;11,16;0,43;0;11,59;;F;271
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;18496;52123;0,00608;316,9;12;0;328,9;;F;041
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;12;9,5;0,00425;0,04;0;0;0,04;;F;251
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;339;631,1;0,00608;3,84;0,15;0;3,99;;F;251
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;45833;166387,1;0,01275;2121,44;80,36;0;2201,8;;F;048
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;24;17,1;0,00425;0,07;0;0;0,07;;F;251
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;10758;53743,7;0,01275;685,23;25,94;0;711,17;;F;085
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;16568;63708,6;0,01275;812,29;30,76;0;843,05;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;14966;54001,5;0,00605;326,71;12,38;0;339,09;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;5;2,5;0,00441;0,01;0;0;0,01;;F;049
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;3712;4086,1;0,01275;52,1;1,97;0;54,07;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;143;224,5;0,00423;0,96;0,04;0;1;;F;221
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;8831;40632,5;0,00605;245,82;9,31;0;255,13;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;13870;76968,5;0,01275;981,36;37,17;0;1018,53;;F;008
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;1;6,5;0,01275;0,08;0;0;0,08;;M;J55
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;1456;2869,3;0,00423;12,14;0,46;0;12,6;;F;271
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;553;489,8;0,01275;6,25;0,23;0;6,48;;F;296
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;2;2,8;0,01275;0,04;0;0;0,04;;M;901
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;12;32,1;0,01275;0,41;0,02;0;0,43;;M;902
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;203;584,1;0,00423;2,47;0,09;0;2,56;;F;031
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;N;8;13,5;0,01686;0,23;0,01;0;0,24;;M;060
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;46;272,5;0,00608;1,66;0,06;0;1,72;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;99;192,7;0,00425;0,83;0,03;0;0,86;;F;247
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;3401;13717,1;0,00423;58,03;2,2;0;60,23;;F;285
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;19637;67967,5;0,01275;866,6;32,82;0;899,42;;F;084
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;463;777,6;0,00425;3,3;0,13;0;3,43;;F;247
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;32958;114161,3;0,00608;694,11;26,29;0;720,4;;F;093
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;1186;2171,5;0,00605;13,15;0,5;0;13,65;;F;031
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;34;33,5;0,00608;0,21;0;0;0,21;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;4106;10376,2;0,00425;44,09;1,67;0;45,76;;F;065
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;575;1765,5;0,00425;7,51;0,29;0;7,8;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;1;0,5;0,00631;0;0;0;0;;F;B68
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;28635;100170,6;0,01275;1277,18;48,38;0;1325,56;;F;082
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;N;6;12,5;0,01686;0,21;0,01;0;0,22;;M;903
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;3523;5877,3;0,00605;35,57;1,35;0;36,92;;F;031
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;397;609,6;0,01275;7,76;0,29;0;8,05;;F;227
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;22923;86817,2;0,00605;525,24;19,9;0;545,14;;F;085
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;9830;25420,1;0,00605;153,8;5,82;0;159,62;;F;005
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;42403;157285,4;0,00608;956,31;36,24;0;992,55;;F;062
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;807;1989,1;0,00423;8,41;0,31;0;8,72;;F;005
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;3807;3398,9;0,00605;20,57;0,77;0;21,34;;F;091
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;44;64,7;0,00425;0,28;0,01;0;0,29;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;5846;5115,2;0,01275;65,21;2,47;0;67,68;;F;021
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;4230;15889,2;0,00423;67,22;2,56;0;69,78;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;2;1;0,01275;0,01;0;0;0,01;;M;F55
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;408;1361,8;0,00605;8,24;0,31;0;8,55;;F;221
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;173;290,6;0,00608;1,77;0,07;0;1,84;;F;251
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;48;130,3;0,00605;0,78;0,03;0;0,81;;F;095
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;1;0,5;0,00423;0;0;0;0;;F;M61
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;11435;38642;0,00608;234,93;8,9;0;243,83;;F;062
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;22;11,3;0,00423;0,05;0;0;0,05;;F;296
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;188373;745827,4;0,01275;9509,3;360,22;0;9869,52;;F;082
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;41749;95077,9;0,00605;575,22;21,79;0;597,01;;F;021
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;N;9;18,2;0,01686;0,31;0,01;0;0,32;;M;902
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;R;4;5,6;0,01049;0,06;0;0;0,06;;M;F03
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;48352;213917,3;0,00605;1294,21;49,02;0;1343,23;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;2486;2534;0,00608;15,4;0,58;0;15,98;;F;051
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;531;478,5;0,00605;2,89;0,1;0;2,99;;F;296
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;N;18;44,3;0,01499;0,66;0,03;0;0,69;;M;F04
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;52582;229806,5;0,01275;2930,03;111;0;3041,03;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;410;545,7;0,00441;2,41;0,09;0;2,5;;F;035
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TLENV;N;15;7,6;0,01686;0,13;0;0;0,13;;M;060
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;9904;29801,7;0,00605;180,3;6,83;0;187,13;;F;271
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;6266;17281,2;0,00425;73,44;2,78;0;76,22;;F;093
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;49;130,8;0,01275;1,68;0,06;0;1,74;;F;095
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;2;6,4;0,01275;0,08;0;0;0,08;;M;903
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;392;1884,1;0,00423;7,97;0,3;0;8,27;;F;286
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;393;1128,5;0,00605;6,83;0,26;0;7,09;;F;091
