B38;044;202607;202607;DATORACNS ;00;NENL;N;1;0,5;0,006080;0,00;0,00;0,00;0,00
B38;044;202607;202607;MGA-RC-1  ;00;LENL;N;29019;77882,4;0,006080;473,52;17,94;0,00;491,46
B38;044;202607;202607;MGA-RC-1  ;00;LENL;R;2222;5863,1;0,004260;24,98;0,95;0,00;25,92
B38;044;202607;202607;MGA-RC-1  ;00;NENL;N;2163;5723,3;0,006080;34,80;1,32;0,00;36,12
B38;044;202607;202607;MGA-RC-1  ;00;NENL;R;75;455,7;0,004260;1,94;0,07;0,00;2,01
B38;044;202607;202607;MGA-RC-1  ;00;NS8L;N;2;20,7;0,000000;0,00;0,00;0,00;0,00
B38;044;202607;202607;PVAI-SC-5 ;00;LENL;N;9;8,1;0,006080;0,05;0,00;0,00;0,05
B38;044;202607;202607;PVAI-SC-5 ;00;NENL;N;1;12,4;0,000000;0,00;0,00;0,00;0,00
B38;044;202607;202607;PVA_SC_5  ;00;LENL;N;316;367,9;0,006080;2,24;0,08;0,00;2,32
B38;044;202607;202607;PVA_SC_5  ;00;LENL;R;6;9,7;0,004250;0,04;0,00;0,00;0,04
B38;044;202607;202607;PVA_SC_5  ;00;NENL;N;74;188,2;0,006080;1,14;0,04;0,00;1,19
B38;044;202607;202607;RTECMGA010;00;LENL;N;247;250,7;0,006080;1,52;0,06;0,00;1,58
B38;044;202607;202607;RTECMGA010;00;LENL;R;2;4,5;0,004260;0,02;0,00;0,00;0,02
B38;044;202607;202607;RTECMGA010;00;NENL;N;1;7,3;0,006080;0,04;0,00;0,00;0,05
B38;044;202607;202607;RTECMGA010;00;NENL;R;1;0,8;0,004260;0,00;0,00;0,00;0,00
B38;044;202607;202607;SNPVAI-001;00;LENL;N;207;197,7;0,006080;1,20;0,05;0,00;1,25
B38;044;202607;202607;SNPVAI-001;00;LENL;R;2;5,6;0,004260;0,02;0,00;0,00;0,02
B38;044;202607;202607;SNPVAI-001;00;NENL;N;5;10,6;0,006080;0,06;0,00;0,00;0,07
B38;044;202607;202607;SNPVAI-001;00;NS8L;N;3;28,3;0,000000;0,00;0,00;0,00;0,00
