Credora;Devedora;Referencia;Trafego;POI;Rel;Descritor;Grupo Horario;Chamadas;Minutos;Tarifa;Valor Liquido;PIS/COFINS;ICMS;Valor Bruto
977;050;202607;202607;ADYL - CSL;00;LENL;N;266563;694704,1;0,00608;4223,80;160,01;0;4383,81
977;050;202607;202607;ADYL - CSL;00;LENL;R;15197;44380,4;0,00425;188,62;7,14;0;195,76
977;050;202607;202607;ADYL - PAE - Local;00;LENL;N;3798;14779,2;0,00608;89,86;3,40;0;93,26
977;050;202607;202607;ADYL - PAE - Local;00;LENL;R;22;12,4;0,00425;0,05;0,00;0;0,05
977;050;202607;202607;CSL UMG VS;00;LENL;N;68;194,4;0,00608;1,18;0,05;0;1,23
977;050;202607;202607;CSL UMG VS;00;LENL;R;1;1,4;0,00425;0,01;0,00;0;0,01
977;050;202607;202607;CSL-RS;00;LENL;N;3974;14507,7;0,00608;88,21;3,34;0;91,55
977;050;202607;202607;CSL-RS;00;LENL;R;194;348,8;0,00425;1,48;0,06;0;1,54
;;;;;01;;;289817;768928,4;;4593,21;174,00;0;4767,21
