Credora;Devedora;Período de referência;Período de tráfego;POI;Tipo;Descritor;GH;Quantidade de chamadas;Duração;Tarifa;Valor líquido;Pis/Cofins;ICMS;Valor Bruto;CN
H90;11;202607;202607;SPO.IB;0;NENL;N;55494;167.921,31;0,0061;1.024,32;37,36;0;1.061,68;11
H90;11;202607;202607;SPO.IB;0;NENL;R;1146;3.128,81;0,00427;13,36;0,49;0;13,85;11
;;;;;;;;;;;1.037,68;;;1.075,53;
