EOT Credora;EOT Devedora;Periodo de Referencia;Periodo de Trafego;Ponto de Interconexao;Tipo Relatorio;Descritor de CDR;Grupo Horario;Chamadas;Duracao em Minutos;Tarifa Aplicavel;Valor Liquido;PIS/Cofins;Valor ICMS;Valor Bruto
774;010;202607;202607;NVA.OCO.01;0;LENL;N;93438;414081,4;0,00610;2525,90;95,69;0,00;2621,59
774;010;202607;202607;NVA.OCO.01;0;LENL;R;3468;7257,4;0,00427;30,99;1,17;0,00;32,16
774;030;202607;202607;NVA.OCO.01;0;LENL;N;232;864,8;0,00610;5,28;0,20;0,00;5,48
774;030;202607;202607;NVA.OCO.01;0;LENL;R;18;28,8;0,00427;0,12;0,00;0,00;0,12
I34;010;202607;202607;NVA.OCO.02;0;LENL;N;91;325,5;0,00605;1,97;0,07;0,00;2,04
I34;010;202607;202607;NVA.OCO.02;0;LENL;R;2;1,0;0,00423;0,00;0,00;0,00;0,00
I34;030;202607;202607;NVA.OCO.02;0;LENL;N;23529;94160,5;0,00605;569,67;21,58;0,00;591,25
I34;030;202607;202607;NVA.OCO.02;0;LENL;R;407;1095,5;0,00423;4,63;0,18;0,00;4,81
