12,11,202603,202603,ULAX_1204,0,2NENI,N,194,"230,1","0,00787","1,81","0,06",0,"1,87",0,F,356
12,11,202603,202603,SPO_10156,0,2NENI,S,11,"15,6","0,00787","0,11",0,0,"0,11",0,F,143
12,11,202603,202603,ULAX_1204,0,2NENI,D,4,2,"0,00787","0,01",0,0,"0,01",0,F,913
12,11,202603,202603,ULAX_4113,0,2NENI,N,217,"427,4","0,00787","3,37","0,12",0,"3,49",0,F,674
12,11,202603,202603,SPOX_0999,0,2NENI,N,508,"610,1","0,00787","4,82","0,18",0,5,0,F,282
12,11,202603,202602,SPOX_0999,0,4NENL,N,2,1,"0,00608",0,0,0,0,0,F,294
12,11,202603,202603,SPOX_6685,0,2NENI,D,8,4,"0,00787","0,01",0,0,"0,01",0,F,689
12,11,202603,202603,ULAX_1201,0, NENV,N,443,"546,4","0,01499","8,17","0,31",0,"8,48",0,M,18
12,11,202603,202603,ULAX_1204,0,4NENL,N,5,"2,5","0,00608","0,02",0,0,"0,02",0,F,963
12,11,202603,202603,SPO_14667,0,2NENI,D,7,"54,1","0,00787","0,42","0,01",0,"0,43",0,F,212
12,11,202603,202603,SPOX_0999,0,4NENL,N,4,"2,1","0,00608","0,01",0,0,"0,01",0,F,256
12,11,202603,202603,ULAX_0432,0,MNENI,S,1,"0,5","0,00787",0,0,0,0,0,M,495
12,11,202603,202603,ULAX_1204,0,2NENI,S,6,"15,7","0,00787","0,11",0,0,"0,11",0,F,282
12,11,202603,202603,SPO_11400,0,MNENI,R,8,"7,3","0,0076","0,06",0,0,"0,06",0,M,325
12,11,202603,202603,SPOX_0970,0,2NENI,R,353,"862,1","0,00787","6,76","0,25",0,"7,01",0,F,143
12,11,202603,202603,ULAX_0432,0,2NENI,N,1,"0,5","0,00787",0,0,0,0,0,F,55
12,11,202603,202603,ULAX_1204,0,2NENI,N,272,"570,4","0,00787","4,48","0,16",0,"4,64",0,F,695
12,11,202603,202603,SPO_10403,0, NENV,N,4,2,"0,01779","0,04",0,0,"0,04",0,M,10
12,11,202603,202603,SPOX_0275,0,1NENI,N,1,"1,2","0,00787","0,01",0,0,"0,01",0,F,143
12,11,202603,202603,ULAX_1204,0,2NENI,D,106,"76,9","0,00787","0,6","0,02",0,"0,62",0,F,967
12,11,202603,202603,ULAX_4202,0,2NENI,D,1128,"776,2","0,00787","6,11","0,23",0,"6,34",0,F,674
12,11,202603,202603,SPOX_0999,0,2NENI,N,1002,"1370,8","0,00787","10,79","0,4",0,"11,19",0,F,351
12,11,202603,202602,SPO_11232,0,2NENI,N,3,"1,5","0,00787","0,01",0,0,"0,01",0,F,317
12,11,202603,202603,SPOX_6685,0,4NENL,N,9,"6,4","0,0061","0,03",0,0,"0,03",0,F,766
12,11,202603,202603,ULAX_1201,0, NENV,N,52,"27,2","0,01686","0,49","0,01",0,"0,5",0,M,A61
12,11,202603,202603,ULAX_1204,0,4NENL,R,32,"18,8","0,00423","0,05",0,0,"0,05",0,F,83
12,11,202603,202603,SPO_14667,0,4NENL,N,2,1,"0,0061",0,0,0,0,0,F,689
12,11,202603,202602,ULAX_1204,0,2NENI,N,1,"0,6","0,0078",0,0,0,0,0,F,247
12,11,202603,202603,SPOX_0999,0,4NENL,N,1,"0,5","0,00608",0,0,0,0,0,F,739
12,11,202603,202603,ULAX_0432,0, NENV,N,273,"182,5","0,01499","2,74","0,1",0,"2,84",0,M,494
12,11,202603,202603,ULAX_1204,0,2NENI,S,15,"28,2","0,00787","0,22",0,0,"0,22",0,F,363
12,11,202603,202603,SPO_11402,0,2NENI,D,2,"7,3","0,00787","0,06",0,0,"0,06",0,F,7
12,11,202603,202603,SPOX_0999,0,2NENI,S,225,"336,1","0,00787","2,64","0,1",0,"2,74",0,F,205
12,11,202603,202603,SPOX_0970,0,4NENL,R,1,"0,5","0,00427",0,0,0,0,0,F,766
12,11,202603,202603,ULAX_0432,0,2NENI,N,9,"6,9","0,00787","0,05",0,0,"0,05",0,F,709
12,11,202603,202603,ULAX_1204,0,2NENI,N,3,"1,5","0,00787","0,01",0,0,"0,01",0,F,810
12,11,202603,202603,SPO_10417,0,MNENI,S,1,"0,5","0,0076",0,0,0,0,0,M,325
12,11,202603,202603,SPOX_0999,0,2NENI,N,980,"1209,6","0,00787","9,51","0,36",0,"9,87",0,F,470
12,11,202603,202603,SPOX_0326,0,2NENI,S,1,"0,5","0,00787",0,0,0,0,0,F,143
12,11,202603,202603,ULAX_1204,0,2NENI,N,212,"539,5","0,00787","4,23","0,16",0,"4,39",0,F,27
12,11,202603,202603,ULAX_4204,0,1NSEI,N,3,"9,5","0,00787","0,07",0,0,"0,07",0,F,674
12,11,202603,202602,ULAX_0432,0,4NENL,N,1,"0,5","0,00602",0,0,0,0,0,F,951
12,11,202603,202603,SPOX_6694,0,2NENI,N,5,"5,3","0,00787","0,03",0,0,"0,03",0,F,766
12,11,202603,202603,SPOX_0999,0,2NENI,D,421,470,"0,00787","3,69","0,13",0,"3,82",0,F,316
12,11,202603,202603,ULAX_1204,0,1NENI,N,2,"1,8","0,00787","0,01",0,0,"0,01",0,F,205
12,11,202603,202603,ULAX_1204,0,4NENL,R,33,"64,7","0,00423","0,28","0,01",0,"0,29",0,F,285
12,11,202603,202603,SPO_14668,0,1NSEI,N,6,"75,1","0,00787","0,59","0,02",0,"0,61",0,F,143
12,11,202603,202602,ULAX_1204,0,4NENL,N,6,"22,5","0,00598","0,14",0,0,"0,14",0,F,232
12,11,202603,202603,SPOX_0999,0,4NENL,N,291,"281,9","0,00608","1,71","0,06",0,"1,77",0,F,961
12,11,202603,202603,ULAX_0432,0, NENV,N,47,"33,3","0,01686","0,58","0,02",0,"0,6",0,M,462
