Credora;Devedora;Referencia;Trafego;POI;Rel;Descritor;Grupo Horario;Chamadas;Minutos;Tarifa;Valor Liquido;PIS/COFINS;ICMS;Valor Bruto
112;200;202607;202607;SPO01;00;GS8L;N;611;3422,2;0,0061;20,88;0,79;0;21,67
112;200;202607;202607;SPO01;00;GS8L;R;50;90,9;0,00427;0,39;0,01;0;0,40
112;200;202607;202607;SPO01;00;NENL;N;59933;220781,5;0,0061;1346,77;51,02;0;1397,79
112;200;202607;202607;SPO01;00;NENL;R;2588;5615,9;0,00427;23,98;0,91;0;24,89
112;200;202607;202607;SPO01;00;NSNL;N;24;79,7;0,0061;0,49;0,01;0;0,50
;;;;;01;;;63206;229990,2;;1392,51;52,74;0;1445,25
