Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;EOT_Ponta_Corredor
A04;931;202607;202607;MUNBH01   ;0;GS8L;N;65;493,7;0,0061;3,01;0,109865;0;3,119865;
;;;;;;;;;;;;;;3,119865;
