Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;CN_RELACIONAMENTO;CBS;IBS_Municipal;IBS_Estadual;EOT_Ponta;Corredor
034;200;202603;202603;9VSITIHB;00;NSNV;R;000000000001;000000000000,5;0,01049;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
325;200;202603;202603;6FCIATGB;00;NSNV;N;000000000063;000000000137,4;0,01779;0000000000002,44;0000000000000,09;0000000000000,00;0000000000002,53;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;325
325;200;202603;202603;6FCIATGB;00;NSNV;R;000000000006;000000000037,3;0,01245;0000000000000,46;0000000000000,02;0000000000000,00;0000000000000,48;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;325
325;200;202603;202603;6FCIATHB;00;NSNV;N;000000000547;000000001290,7;0,01779;0000000000022,96;0000000000000,87;0000000000000,00;0000000000023,83;;0000000000000,21;0000000000000,00;0000000000000,00;000000000000002;325
325;200;202603;202603;6FCIATHB;00;NSNV;R;000000000113;000000000737,4;0,01245;0000000000009,18;0000000000000,35;0000000000000,00;0000000000009,53;;0000000000000,08;0000000000000,00;0000000000000,00;000000000000001;325
325;200;202603;202603;6FCICTGB;00;NSNV;N;000000002826;000000008495,4;0,01779;0000000000151,13;0000000000005,73;0000000000000,00;0000000000156,86;;0000000000001,36;0000000000000,00;0000000000000,00;000000000000015;325
325;200;202603;202603;6FCICTGB;00;NSNV;R;000000000223;000000001635,4;0,01245;0000000000020,36;0000000000000,77;0000000000000,00;0000000000021,13;;0000000000000,18;0000000000000,00;0000000000000,00;000000000000002;325
325;200;202603;202603;6FCICTHB;00;NSNV;N;000000007694;000000019598,8;0,01779;0000000000348,66;0000000000013,21;0000000000000,00;0000000000361,87;;0000000000003,14;0000000000000,00;0000000000000,00;000000000000035;325
325;200;202603;202603;6FCICTHB;00;NSNV;R;000000001164;000000008480,3;0,01245;0000000000105,58;0000000000004,00;0000000000000,00;0000000000109,58;;0000000000000,95;0000000000000,00;0000000000000,00;000000000000011;325
325;200;202603;202603;RQ0516CT;00;GS3V;N;000000000021;000000000013,0;0,01779;0000000000000,23;0000000000000,01;0000000000000,00;0000000000000,24;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;325
325;200;202603;202603;RQ0516CT;00;NSNV;N;000000001166;000000001453,3;0,01779;0000000000025,85;0000000000000,98;0000000000000,00;0000000000026,83;;0000000000000,23;0000000000000,00;0000000000000,00;000000000000003;325
325;200;202603;202603;RQ0516CT;00;NSNV;R;000000000019;000000000042,2;0,01245;0000000000000,53;0000000000000,02;0000000000000,00;0000000000000,55;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;325
348;200;202603;202603;01XACTM4;00;GS3V;N;000000000008;000000000004,2;0,01686;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;01XACTM4;00;NSNV;N;000000029802;000000028478,7;0,01686;0000000000480,15;0000000000018,19;0000000000000,00;0000000000498,34;;0000000000004,32;0000000000000,00;0000000000000,00;000000000000048;348
348;200;202603;202603;01XACTM4;00;NSNV;R;000000000857;000000003767,1;0,0118;0000000000044,45;0000000000001,68;0000000000000,00;0000000000046,13;;0000000000000,40;0000000000000,00;0000000000000,00;000000000000004;348
348;200;202603;202603;1VHITIGB;00;NSNV;R;000000000001;000000000000,6;0,0118;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;1VHITIHB;00;NSNV;N;000000000001;000000000000,9;0,01686;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;1VHLCLCB;00;NSNV;N;000000000019;000000000009,5;0,01686;0000000000000,16;0000000000000,01;0000000000000,00;0000000000000,17;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;1VHLCLCB;00;NSNV;R;000000000001;000000000000,5;0,0118;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;1VHLCLDB;00;NSNV;N;000000000017;000000000013,7;0,01686;0000000000000,23;0000000000000,01;0000000000000,00;0000000000000,24;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;1VHLTICB;00;NSNV;N;000000000001;000000000000,5;0,01686;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;1VHLTIDB;00;NSNV;N;000000000001;000000000000,5;0,01686;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;5VULTICB;00;NSNV;N;000000000001;000000000000,5;0,01686;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202603;5VULTIDB;00;NSNV;N;000000000001;000000000000,5;0,01686;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
ALGAR;VIVO;202603;;;01;;;000000310571;000000337785,1;;0000000005033,67;0000000000190,66;0000000000000,00;0000000005224,33
