Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;CN_RELACIONAMENTO;CBS;IBS_Municipal;IBS_Estadual;EOT_Ponta;Corredor
361;200;202603;202602;4OIF077O;00;NSNL;N;000000000318;000000001129,7;0,00602;0000000000006,80;0000000000000,26;0000000000000,00;0000000000007,06;;0000000000000,06;0000000000000,00;0000000000000,00;000000000000001;361
361;200;202603;202602;4OIF077O;00;NSNL;N;000000000068;000000000186,6;0,00608;0000000000001,13;0000000000000,04;0000000000000,00;0000000000001,17;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;361
361;200;202603;202602;4OIF077O;00;NSNL;R;000000000093;000000000336,2;0,00421;0000000000001,42;0000000000000,05;0000000000000,00;0000000000001,47;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;361
361;200;202603;202602;4OIF077O;00;NSNL;R;000000000012;000000000031,2;0,00425;0000000000000,13;0000000000000,01;0000000000000,00;0000000000000,14;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;361
361;200;202603;202602;4OIF085O;00;NSNL;N;000000000128;000000000530,4;0,00602;0000000000003,19;0000000000000,12;0000000000000,00;0000000000003,31;;0000000000000,03;0000000000000,00;0000000000000,00;000000000000000;361
361;200;202603;202602;4OIF085O;00;NSNL;N;000000000020;000000000054,3;0,00608;0000000000000,33;0000000000000,01;0000000000000,00;0000000000000,34;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;361
361;200;202603;202602;4OIF085O;00;NSNL;R;000000000001;000000000001,2;0,00425;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;361
431;200;202603;202602;4OIF093O;00;NSNL;N;000000000172;000000000471,0;0,00602;0000000000002,84;0000000000000,11;0000000000000,00;0000000000002,95;;0000000000000,03;0000000000000,00;0000000000000,00;000000000000000;431
431;200;202603;202602;4OIF093O;00;NSNL;N;000000000039;000000000091,1;0,00608;0000000000000,55;0000000000000,02;0000000000000,00;0000000000000,57;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;431
431;200;202603;202602;4OIF099O;00;NSNL;N;000000000117;000000000301,2;0,00602;0000000000001,81;0000000000000,07;0000000000000,00;0000000000001,88;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;431
431;200;202603;202602;4OIF099O;00;NSNL;N;000000000024;000000000056,9;0,00608;0000000000000,35;0000000000000,01;0000000000000,00;0000000000000,36;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;431
431;200;202603;202602;4OIF099O;00;NSNL;R;000000000003;000000000005,5;0,00421;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;431
431;200;202603;202602;4OIF101O;00;NSNL;N;000000001007;000000003699,1;0,00602;0000000000022,27;0000000000000,84;0000000000000,00;0000000000023,11;;0000000000000,20;0000000000000,00;0000000000000,00;000000000000002;431
431;200;202603;202602;4OIF101O;00;NSNL;N;000000000209;000000000704,6;0,00608;0000000000004,28;0000000000000,16;0000000000000,00;0000000000004,44;;0000000000000,04;0000000000000,00;0000000000000,00;000000000000000;431
