CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;
348;010;202607;202607;MERVIV01;00;SENS;N;16;0,0;0,05000;0,80;0,03;0,00;0,83;
348;010;202607;202607;MERVIV01;00;SENS;N;11;0,0;0,05000;0,55;0,02;0,00;0,57;
348;010;202607;202607;MERVIV01;00;SENS;R;5;0,0;0,05000;0,25;0,01;0,00;0,26;
348;010;202607;202607;MERVIV01;00;SENS;R;12;0,0;0,05000;0,60;0,02;0,00;0,62;
348;010;202607;202607;MERVIV02;00;SENS;N;16;0,0;0,05000;0,80;0,03;0,00;0,83;
348;010;202607;202607;MERVIV02;00;SENS;N;12;0,0;0,05000;0,60;0,02;0,00;0,62;
348;010;202607;202607;MERVIV02;00;SENS;N;10;0,0;0,05000;0,50;0,02;0,00;0,52;
348;010;202607;202607;MERVIV02;00;SENS;R;2;0,0;0,05000;0,10;0,00;0,00;0,10;
348;010;202607;202607;MERVIV02;00;SENS;R;6;0,0;0,05000;0,30;0,01;0,00;0,31;
348;010;202607;;;01;;;90;0,00;;4,50;0,16;0,00;4,66;
348;020;202607;202607;MERVIV02;00;SENS;N;3;0,0;0,05000;0,15;0,01;0,00;0,16;
348;020;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;020;202607;202607;MERVIV02;00;SENS;R;2;0,0;0,05000;0,10;0,00;0,00;0,10;
348;020;202607;;;01;;;6;0,00;;0,30;0,01;0,00;0,31;
348;026;202607;202607;MERVIV02;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
348;026;202607;;;01;;;4;0,00;;0,20;0,01;0,00;0,21;
348;030;202607;202607;MERVIV02;00;SENS;N;53;0,0;0,05000;2,65;0,10;0,00;2,75;
348;030;202607;202607;MERVIV02;00;SENS;R;15;0,0;0,05000;0,75;0,03;0,00;0,78;
348;030;202607;202607;MERVIV02;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
348;030;202607;;;01;;;72;0,00;;3,60;0,14;0,00;3,74;
348;044;202607;202607;MERVIV02;00;SENS;N;3;0,0;0,05000;0,15;0,01;0,00;0,16;
348;044;202607;;;01;;;3;0,00;;0,15;0,01;0,00;0,16;
348;045;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
348;045;202607;202607;MERVIV02;00;SENS;R;3;0,0;0,05000;0,15;0,01;0,00;0,16;
348;045;202607;;;01;;;5;0,00;;0,25;0,01;0,00;0,26;
348;050;202607;202607;MERVIV02;00;SENS;N;4;0,0;0,05000;0,20;0,01;0,00;0,21;
348;050;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;050;202607;;;01;;;5;0,00;;0,25;0,01;0,00;0,26;
348;060;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
348;060;202607;;;01;;;2;0,00;;0,10;0,00;0,00;0,10;
348;064;202607;202607;MERVIV01;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;064;202607;202607;MERVIV01;00;SENS;R;6;0,0;0,05000;0,30;0,01;0,00;0,31;
348;064;202607;;;01;;;7;0,00;;0,35;0,01;0,00;0,36;
348;066;202607;202607;MERVIV01;00;SENS;N;4;0,0;0,05000;0,20;0,01;0,00;0,21;
348;066;202607;202607;MERVIV01;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
348;066;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;066;202607;202607;MERVIV02;00;SENS;N;96;0,0;0,05000;4,80;0,18;0,00;4,98;
348;066;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;066;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;066;202607;202607;MERVIV02;00;SENS;R;27;0,0;0,05000;1,35;0,05;0,00;1,40;
348;066;202607;;;01;;;134;0,00;;6,70;0,25;0,00;6,95;
348;068;202607;202607;MERVIV01;00;SENS;N;35;0,0;0,05000;1,75;0,07;0,00;1,82;
348;068;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;068;202607;202607;MERVIV02;00;SENS;N;231;0,0;0,05000;11,55;0,44;0,00;11,99;
348;068;202607;202607;MERVIV02;00;SENS;N;3;0,0;0,05000;0,15;0,01;0,00;0,16;
348;068;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
348;068;202607;202607;MERVIV02;00;SENS;R;111;0,0;0,05000;5,55;0,21;0,00;5,76;
348;068;202607;;;01;;;383;0,00;;19,15;0,73;0,00;19,88;
348;070;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
348;070;202607;;;01;;;2;0,00;;0,10;0,00;0,00;0,10;
348;456;202607;202607;MERVIV01;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;456;202607;202607;MERVIV02;00;SENS;N;3;0,0;0,05000;0,15;0,01;0,00;0,16;
348;456;202607;;;01;;;4;0,00;;0,20;0,01;0,00;0,21;
348;457;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
348;457;202607;;;01;;;1;0,00;;0,05;0,00;0,00;0,05;
;;202607;;;;;;131458,00;0,0;;6572,90;249,00;0,00;6821,90;
