CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;VALOR_TOTAL_REAL;OPERATOR_TYPE;EOT_CREDORA
012;010;202607;202607;FACX_5020;00;1LENI;R;3;18,6;0,00787;0,15;0,01;0,00;0,16;0,00;M;325
012;010;202607;202607;FACX_5042;00;1LENI;D;12701;26439,4;0,00787;208,08;7,88;0,00;215,96;0,00;M;025
012;010;202607;202607;FACX_5042;00;1LENI;N;7645;15423,4;0,00787;121,38;4,60;0,00;125,98;0,00;M;025
012;010;202607;202607;FACX_5042;00;1LENI;N;2;1,0;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;FACX_5042;00;1LENI;R;2340;5314,3;0,00787;41,82;1,58;0,00;43,40;0,00;M;025
012;010;202607;202607;FACX_5042;00;1LENI;S;102;126,8;0,00787;1,00;0,04;0,00;1,04;0,00;M;025
012;010;202607;202607;FACX_5043;00;1LENI;D;443;844,1;0,00787;6,64;0,25;0,00;6,89;0,00;M;025
012;010;202607;202607;FACX_5043;00;1LENI;N;334;580,6;0,00787;4,57;0,17;0,00;4,74;0,00;M;025
012;010;202607;202607;FACX_5043;00;1LENI;R;79;105,0;0,00787;0,83;0,03;0,00;0,86;0,00;M;025
012;010;202607;202607;FACX_5043;00;1LENI;S;4;5,8;0,00787;0,05;0,00;0,00;0,05;0,00;M;025
012;010;202607;202607;FACX_5060;00;1LENI;D;113038;339634,9;0,00787;2672,93;101,26;0,00;2774,19;0,00;M;143
012;010;202607;202607;FACX_5060;00;1LENI;D;21396;53404,1;0,00787;420,29;15,92;0,00;436,21;0,00;M;325
012;010;202607;202607;FACX_5060;00;1LENI;N;56345;141268,9;0,00787;1111,79;42,12;0,00;1153,91;0,00;M;143
012;010;202607;202607;FACX_5060;00;1LENI;N;16143;46286,0;0,00787;364,27;13,80;0,00;378,07;0,00;M;325
012;010;202607;202607;FACX_5060;00;1LENI;R;9046;15930,7;0,00787;125,37;4,75;0,00;130,12;0,00;M;143
012;010;202607;202607;FACX_5060;00;1LENI;R;6450;22708,8;0,00787;178,72;6,77;0,00;185,49;0,00;M;325
