006;951;202607;202607;5105001F;00; IENV;N;45061;22915,60;0,016860;386,36;14,64;0,00;400,99;;
006;951;202607;202607;5105001G;00; IENV;N;70512;35938,40;0,016860;605,92;22,95;0,00;628,88;;
006;951;202607;202607;5105001I;00; IENV;N;70930;36126,90;0,016860;609,10;23,07;0,00;632,17;;
006;951;202607;202607;5105001K;00; IENV;N;70679;36093,80;0,016860;608,54;23,05;0,00;631,59;;
006;951;202607;202607;5121100P;00; IENV;N;9;15,70;0,016860;0,26;0,01;0,00;0,27;;
006;951;202607;202607;51211010;00; IENV;N;34;22,00;0,016860;0,37;0,01;0,00;0,38;;
006;951;202607;202607;53050005;00; IENV;N;2248;1315,70;0,016860;22,18;0,84;0,00;23,02;;
006;951;202607;202607;53050009;00; IENV;N;92425;47779,00;0,016860;805,55;30,52;0,00;836,07;;
006;951;202607;202607;53211002;00; IENV;N;12;6,00;0,016860;0,10;0,00;0,00;0,10;;
006;951;202607;202607;53211003;00; IENV;N;10;5,30;0,016860;0,09;0,00;0,00;0,09;;
006;951;202607;202607;5405000A;00; IENV;N;195799;103122,00;0,016860;1738,64;65,86;0,00;1804,50;;
006;951;202607;202607;54211001;00; IENV;N;12;6,00;0,016860;0,10;0,00;0,00;0,10;;
006;951;202607;202607;55050007;00; IENV;N;76348;40155,80;0,016860;677,03;25,65;0,00;702,67;;
006;951;202607;202607;55050009;00; IENV;N;75860;40010,60;0,016860;674,58;25,55;0,00;700,13;;
006;951;202607;202607;55211001;00; IENV;N;155;79,00;0,016860;1,33;0,05;0,00;1,38;;
006;951;202607;202607;5105001F;00; IENV;R;401;212,30;0,011800;2,51;0,09;0,00;2,60;;
006;951;202607;202607;5105001G;00; IENV;R;649;384,80;0,011800;4,54;0,17;0,00;4,71;;
006;951;202607;202607;5105001I;00; IENV;R;721;389,70;0,011800;4,60;0,17;0,00;4,77;;
006;951;202607;202607;5105001K;00; IENV;R;894;486,40;0,011800;5,74;0,22;0,00;5,96;;
006;951;202607;202607;53050005;00; IENV;R;41;26,30;0,011800;0,31;0,01;0,00;0,32;;
006;951;202607;202607;53050009;00; IENV;R;1066;696,90;0,011800;8,22;0,31;0,00;8,53;;
006;951;202607;202607;5405000A;00; IENV;R;3503;2510,00;0,011800;29,62;1,12;0,00;30,74;;
006;951;202607;202607;55050007;00; IENV;R;1348;874,60;0,011800;10,32;0,39;0,00;10,71;;
006;951;202607;202607;55050009;00; IENV;R;1291;846,50;0,011800;9,99;0,38;0,00;10,37;;
006;951;202607;202606;53050009;00; LENV;N;1;0,50;0,016860;0,01;0,00;0,00;0,01;;
006;951;202607;202607;5100101M;00; LENV;N;678;461,00;0,016860;7,77;0,29;0,00;8,07;;
006;951;202607;202607;5100101O;00; LENV;N;698;506,00;0,016860;8,53;0,32;0,00;8,85;;
006;951;202607;202607;5105000P;00; LENV;N;274;238,80;0,016860;4,03;0,15;0,00;4,18;;
006;951;202607;202607;5105000T;00; LENV;N;254;245,20;0,016860;4,13;0,16;0,00;4,29;;
006;951;202607;202607;5105000V;00; LENV;N;136;115,10;0,016860;1,94;0,07;0,00;2,01;;
006;951;202607;202607;51050013;00; LENV;N;123;134,90;0,016860;2,27;0,09;0,00;2,36;;
006;951;202607;202607;5105001F;00; LENV;N;928442;490836,70;0,016860;8275,51;313,50;0,00;8589,01;;
006;951;202607;202607;5105001G;00; LENV;N;1180449;596327,50;0,016860;10054,08;380,88;0,00;10434,96;;
006;951;202607;202607;5105001I;00; LENV;N;1187208;598943,10;0,016860;10098,18;382,55;0,00;10480,73;;
006;951;202607;202607;5105001K;00; LENV;N;1178777;595512,20;0,016860;10040,34;380,36;0,00;10420,69;;
006;951;202607;202607;5121100P;00; LENV;N;529;470,70;0,016860;7,94;0,30;0,00;8,24;;
006;951;202607;202607;5121100R;00; LENV;N;184731;166385,20;0,016860;2805,25;106,27;0,00;2911,53;;
006;951;202607;202607;5121100V;00; LENV;N;198004;175797,50;0,016860;2963,95;112,28;0,00;3076,23;;
006;951;202607;202607;51211010;00; LENV;N;2188;2024,90;0,016860;34,14;1,29;0,00;35,43;;
006;951;202607;202607;51211012;00; LENV;N;7068;6197,70;0,016860;104,49;3,96;0,00;108,45;;
006;951;202607;202607;51895002;00; LENV;N;395;231,80;0,016860;3,91;0,15;0,00;4,06;;
006;951;202607;202607;5300100I;00; LENV;N;30;21,40;0,016860;0,36;0,01;0,00;0,37;;
006;951;202607;202607;53050005;00; LENV;N;82293;41763,10;0,016860;704,13;26,67;0,00;730,80;;
006;951;202607;202607;53050009;00; LENV;N;1732379;871961,10;0,016860;14701,26;556,92;0,00;15258,19;;
006;951;202607;202607;53211002;00; LENV;N;1;0,50;0,016860;0,01;0,00;0,00;0,01;;
006;951;202607;202607;53211003;00; LENV;N;1;0,50;0,016860;0,01;0,00;0,00;0,01;;
006;951;202607;202607;53211007;00; LENV;N;9427;7280,50;0,016860;122,75;4,65;0,00;127,40;;
006;951;202607;202607;5400100S;00; LENV;N;361;270,10;0,016860;4,55;0,17;0,00;4,73;;
006;951;202607;202607;5405000A;00; LENV;N;3841819;1937173,10;0,016860;32660,74;1237,28;0,00;33898,02;;
006;951;202607;202607;54211001;00; LENV;N;14;11,40;0,016860;0,19;0,01;0,00;0,20;;
006;951;202607;202607;54211002;00; LENV;N;62530;55290,50;0,016860;932,20;35,31;0,00;967,51;;
006;951;202607;202607;5500100I;00; LENV;N;334;226,50;0,016860;3,82;0,14;0,00;3,96;;
006;951;202607;202607;55050007;00; LENV;N;1365577;687348,70;0,016860;11588,70;439,01;0,00;12027,71;;
006;951;202607;202607;55050009;00; LENV;N;1367230;687941,90;0,016860;11598,70;439,39;0,00;12038,09;;
006;951;202607;202607;5505000E;00; LENV;N;129;185,70;0,016860;3,13;0,12;0,00;3,25;;
006;951;202607;202607;55211001;00; LENV;N;25;12,70;0,016860;0,21;0,01;0,00;0,22;;
006;951;202607;202607;55211005;00; LENV;N;47210;35606,20;0,016860;600,32;22,74;0,00;623,06;;
006;951;202607;202607;5100101M;00; LENV;R;6;3,40;0,011800;0,04;0,00;0,00;0,04;;
006;951;202607;202607;5100101O;00; LENV;R;3;2,20;0,011800;0,03;0,00;0,00;0,03;;
006;951;202607;202607;5105000P;00; LENV;R;15;10,30;0,011800;0,12;0,00;0,00;0,13;;
006;951;202607;202607;5105000T;00; LENV;R;10;48,30;0,011800;0,57;0,02;0,00;0,59;;
006;951;202607;202607;5105000V;00; LENV;R;7;4,90;0,011800;0,06;0,00;0,00;0,06;;
006;951;202607;202607;51050013;00; LENV;R;2;2,70;0,011800;0,03;0,00;0,00;0,03;;
006;951;202607;202607;5105001F;00; LENV;R;1837;22868,80;0,011800;269,85;10,22;0,00;280,07;;
006;951;202607;202607;5105001G;00; LENV;R;2383;1237,90;0,011800;14,61;0,55;0,00;15,16;;
006;951;202607;202607;5105001I;00; LENV;R;2530;1302,30;0,011800;15,37;0,58;0,00;15,95;;
006;951;202607;202607;5105001K;00; LENV;R;3183;1676,40;0,011800;19,78;0,75;0,00;20,53;;
006;951;202607;202607;5121100P;00; LENV;R;64;40,50;0,011800;0,48;0,02;0,00;0,50;;
006;951;202607;202607;5121100R;00; LENV;R;7657;11527,10;0,011800;136,02;5,15;0,00;141,17;;
006;951;202607;202607;5121100V;00; LENV;R;7603;12015,40;0,011800;141,78;5,37;0,00;147,15;;
006;951;202607;202607;51211010;00; LENV;R;233;237,50;0,011800;2,80;0,11;0,00;2,91;;
006;951;202607;202607;51211012;00; LENV;R;143;173,20;0,011800;2,04;0,08;0,00;2,12;;
006;951;202607;202607;53050005;00; LENV;R;434;218,10;0,011800;2,57;0,10;0,00;2,67;;
006;951;202607;202607;53050009;00; LENV;R;1293;723,70;0,011800;8,54;0,32;0,00;8,86;;
006;951;202607;202607;53211007;00; LENV;R;150;217,20;0,011800;2,56;0,10;0,00;2,66;;
006;951;202607;202607;5400100S;00; LENV;R;2;1,50;0,011800;0,02;0,00;0,00;0,02;;
006;951;202607;202607;5405000A;00; LENV;R;3843;2254,50;0,011800;26,60;1,01;0,00;27,61;;
006;951;202607;202607;54211002;00; LENV;R;1556;3023,00;0,011800;35,67;1,35;0,00;37,02;;
006;951;202607;202607;5500100I;00; LENV;R;13;6,90;0,011800;0,08;0,00;0,00;0,08;;
006;951;202607;202607;55050007;00; LENV;R;30;261,50;0,011800;3,09;0,12;0,00;3,20;;
006;951;202607;202607;55050009;00; LENV;R;25;25,60;0,011800;0,30;0,01;0,00;0,31;;
006;951;202607;202607;5505000E;00; LENV;R;13;30,90;0,011800;0,36;0,01;0,00;0,38;;
006;951;202607;202607;55211005;00; LENV;R;4763;3719,00;0,011800;43,88;1,66;0,00;45,55;;
006;951;202607;202607;51211014;00; LSAV;N;450;922,50;0,016860;15,55;0,59;0,00;16,14;;
006;951;202607;202607;53211009;00; LSAV;N;5;3,30;0,016860;0,06;0,00;0,00;0,06;;
006;951;202607;202607;54211002;00; LSAV;N;53;209,30;0,016860;3,53;0,13;0,00;3,66;;
006;951;202607;202607;55211003;00; LSAV;N;2;3,30;0,016860;0,06;0,00;0,00;0,06;;
006;951;202607;202607;51211014;00; LSAV;R;84;204,80;0,011800;2,42;0,09;0,00;2,51;;
006;951;202607;202607;53211009;00; LSAV;R;1;1,30;0,011800;0,02;0,00;0,00;0,02;;
006;951;202607;202607;54211002;00; LSAV;R;14;40,30;0,011800;0,48;0,02;0,00;0,49;;
006;951;202607;202607;53211003;00; NEAV;N;1;3,00;0,016860;0,05;0,00;0,00;0,05;;
006;951;202607;202607;55211001;00; NEAV;N;1;0,50;0,016860;0,01;0,00;0,00;0,01;;
006;951;202607;202607;55211001;00; NEAV;R;5;2,50;0,011800;0,03;0,00;0,00;0,03;;
006;951;202607;202606;5105001F;00; NENV;N;147;73,50;0,016860;1,24;0,05;0,00;1,29;;
006;951;202607;202606;5405000A;00; NENV;N;18;9,80;0,016860;0,17;0,01;0,00;0,17;;
006;951;202607;202606;54361001;00; NENV;N;9;4,50;0,016860;0,08;0,00;0,00;0,08;;
006;951;202607;202607;5105000V;00; NENV;N;2;9,30;0,016860;0,16;0,01;0,00;0,16;;
006;951;202607;202607;5105001F;00; NENV;N;205452;211679,70;0,016860;3568,92;135,20;0,00;3704,12;;
006;951;202607;202607;5105001G;00; NENV;N;292952;338639,00;0,016860;5709,45;216,29;0,00;5925,74;;
006;951;202607;202607;5105001I;00; NENV;N;294704;340753,10;0,016860;5745,10;217,64;0,00;5962,74;;
006;951;202607;202607;5105001K;00; NENV;N;289999;339478,40;0,016860;5723,61;216,83;0,00;5940,43;;
006;951;202607;202607;5121100P;00; NENV;N;14744;12344,40;0,016860;208,13;7,88;0,00;216,01;;
006;951;202607;202607;5121100R;00; NENV;N;27;43,60;0,016860;0,74;0,03;0,00;0,76;;
