2026-08-17 17:21:21.689 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.690 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.696 | INFO    |test_captacao_expectativa:test_falha_num_arquivo_nao_derruba_os_demais:224 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.696 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_SMS_ITF -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.696 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 2 de 2 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.697 | ERROR   |src.services.captacao_expectativa:executar:199 - [Expectativa] Falhou [A_202603_D.csv]: disco cheio
2026-08-17 17:21:21.698 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: Vivo/B_202603_D.csv
2026-08-17 17:21:21.698 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TELEFONICA -> TLF: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.699 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.699 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.705 | INFO    |test_captacao_expectativa:test_a_sessao_e_fechada_mesmo_sem_nada_para_baixar:232 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
